Date,Heure,Energie,Index,
13/08/2026,10:30,Boiler,5181,
,,,,
09/03/2026,19:00,Pisc,18673,
09/03/2026,19:00,CJour,2905,
09/03/2026,19:00,CNuit,3035,
09/03/2026,19:00,PJour,1713,
09/03/2026,19:00,PNuit,2186,
09/03/2026,19:00,Solar,29300,
03/09/2026,19:00,Eau,2349,
09/03/2026,19:00,Boiler,5249,
09/03/2026,19:00,Mazout,17594,
